code;orgTypeFormula;name;nameShorten;address_address_line;address_city;address_region;address_state;address_zipcode;address_district;address_cityName
H5IK;Поликлиника;Учреждение здравоохранения «Брестская городская поликлиника № 1»;Брестская городская поликлиника № 1;ул. Воровского, 4;г. Брест;г. Брест;Брестская обл.;224030;Брэсцкі;Брест
29BC;Поликлиника;Учреждение здравоохранения «Брестская городская поликлиника № 2»;Брестская городская поликлиника № 2;ул. Белова, 2;г. Брест;г. Брест;Брестская обл.;224005;Брэсцкі;Брест
4MEC;Поликлиника;Филиал № 1 Учреждения здравоохранения «Брестская городская поликлиника № 1»;Филиал № 1 Учреждения здравоохранения «Брестская городская поликлиника № 1;ул. Кирова, 15;г. Брест;г. Брест;Брестская обл.;224016;Брэсцкі;Брест
59H9;Поликлиника;Учреждение здравоохранения «Брестская городская детская поликлиника № 1»;Брестская городская детская поликлиника № 1;ул. Кижеватова, 74;г. Брест;г. Брест;Брестская обл.;224024;Брэсцкі;Брест
CBAN;Стоматологическая Поликлиника;Учреждение здравоохранения «Брестская стоматологическая поликлиника»;Брестская стоматологическая поликлиника;ул. Куйбышева, 42;г. Брест;г. Брест;Брестская обл.;224016;Брэсцкі;Брест
47V8;Стоматологическая Поликлиника;Филиал № 2 «Брестская стоматологическая поликлиника» УЗ «Брестская стоматологическая поликлиника»;Филиал № 2 «Брестская стоматологическая поликлиника» УЗ «Брестская стоматологическая поликлиника»;ул. Гаврилова, 37;г. Брест;г. Брест;Брестская обл.;224028;Брэсцкі;Брест
NI2M;Стоматологическая Поликлиника;Филиал № 1 Брестская детская стоматологическая поликлиника учреждения здравоохранения «Брестская стоматологическая поликлиника»;Филиал № 1 Брестская детская стоматологическая поликлиника учреждения здравоохранения «Брестская стоматологическая поликлиника;ул. К. Маркса, 64;г. Брест;г. Брест;Брестская обл.;224030;Брэсцкі;Брест
FOF0;Центр гигиены и эпидемиологии;Государственное учреждение «Брестский зональный центр гигиены и эпидемиологии»;Брестский зональный центр гигиены и эпидемиологии;пл. Свободы, 11 «А»;г. Брест;г. Брест;Брестская обл.;224030;Брэсцкі;Брест
H6MF;Поликлиника;Учреждение здравоохранения «Брестская центральная поликлиника» филиал «Брестская городская детская поликлиника № 2»;Брестская центральная поликлиника филиал «Брестская городская детская поликлиника № 2»;ул. Советской Конституции, 8а;г. Брест;г. Брест;Брестская обл.;224023;Брэсцкі;Брест
GI8M;Поликлиника;Учреждение здравоохранения «Брестская центральная поликлиника»;Брестская центральная поликлиника;ул. Советской Конституции, 8;г. Брест;г. Брест;Брестская обл.;224023;Брэсцкі;Брест
LTON;Поликлиника;Учреждение здравоохранения «Брестская городская поликлиника № 6»;Брестская городская поликлиника № 6;ул. Лактионова, 11;г. Брест;г. Брест;Брестская обл.;224007;Брэсцкі;Брест
53FA;Поликлиника;Учреждение здравоохранения «Барановичская центральная поликлиника»;Барановичская центральная поликлиника;ул. Горького, 58;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
F33A;Диспансер;УЗ «Барановичский городской кожно-венерологический диспансер»;Барановичский городской кожно-венерологический диспансер;ул. Торфяная, 31;г. Барановичи;Брестская обл.;Брестская обл.;225400;Баранавіцкі;Барановичи
U2FV;Поликлиника;Поликлиника;Поликлиника;ул. Торфяная, 31;г. Барановичи;Брестская обл.;Брестская обл.;225400;Баранавіцкі;Барановичи
EPBR;Диспансер;Учреждение здравоохране «Барановичский диспансер спортивной медицины»;Учреждение здравоохране «Барановичский диспансер спортивной медицины;ул. Наконечникова, 11;г. Барановичи;Брестская обл.;Брестская обл.;225416;Баранавіцкі;Барановичи
LRBP;Диспансер;Онкологический диспансер города Барановичи;Онкологический диспансер города Барановичи;Слонимское шоссе, 12;г. Барановичи;Брестская обл.;Брестская обл.;225413;Баранавіцкі;Барановичи
A5MH;Диспансер;Барановичский городской противотуберкулезный диспансер;Барановичский городской противотуберкулезный диспансер;Слонимское шоссе, 14;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
R364;Диспансер;Барановичский городской психоневрологический диспансер;Барановичский городской психоневрологический диспансер;ул. Брестская, 135;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
ASD5;Стоматологическая Поликлиника;Барановичская городская стоматологическая поликлиника;Барановичская городская стоматологическая поликлиника;ул. Мицкевича, 11;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
74LF;Поликлиника;Учреждение здравоохранения «Барановичская городская поликлиника № 2»;Барановичская городская поликлиника № 2;ул. Фабричная, 6;г. Барановичи;Брестская обл.;Брестская обл.;225410;Баранавіцкі;Барановичи
7TR8;Родильный дом;Учреждение здравоохранения «Барановичский родильный дом»;Барановичский родильный дом;ул. Гагарина, 10;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
EGO9;Центр гигиены и эпидемиологии;Государственное учреждение «Барановичский зональный центр гигиены и эпидемиологии»;Барановичский зональный центр гигиены и эпидемиологии;ул. 50 лет ВЛКСМ, 9;г. Барановичи;Брестская обл.;Брестская обл.;225320;Баранавіцкі;Барановичи
8DE4;Больница;Учреждение здравоохранения «Барановичская городская больница»;Барановичская городская больница;ул. Брестская, 133;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
26U1;Больница;Учреждение здравоохранения «Барановичская детская городская больница»;Барановичская детская городская больница;ул. Куйбышева, 46;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
3NQI;Поликлиника;Барановичская городская поликлиника № 3;Барановичская городская поликлиника № 3;ул. Горького, 56;г. Барановичи;Брестская обл.;Брестская обл.;225409;Баранавіцкі;Барановичи
5ROI;Центр гигиены и эпидемиологии;Государственное учреждение «Березовский районный центр гигиены и эпидемиологии»;Березовский районный центр гигиены и эпидемиологии;ул. Пушкина, 23а;г. Береза;Брестская обл.;Брестская обл.;225209;Бярозаўскі;Береза
NT19;Больница;Учреждение здравоохранения «Ганцевичская центральная районная больница»;Ганцевичская центральная районная больница;ул. Матросова, 64;г. Ганцевичи;Брестская обл.;Брестская обл.;225432;Ганцавіцкі;Ганцевичи
BQ0L;Больница;Денисковичская больница сестринского ухода;Денисковичская больница сестринского ухода;ул. Ленина, 72;д. Денисковичи;Брестская обл.;Брестская обл.;225454;Ганцавіцкі;Денисковичи
7GQ2;Больница;Мальковичская сельская участковая больница;Мальковичская сельская участковая больница;ул. Песчаная, 14;д. Мальковичи;Брестская обл.;Брестская обл.;225420;Ганцавіцкі;Мальковичи
E6ES;Больница;Хотыничская участковая больница;Хотыничская участковая больница;ул. Садовая, 4;д. Хотыничи;Брестская обл.;Брестская обл.;225441;Ганцавіцкі;Хотыничи
NOE1;Центр гигиены и эпидемиологии;Государственное учреждение «Ганцевичский районный центр гигиены и эпидемиологии»;Ганцевичский районный центр гигиены и эпидемиологии;ул. Матросова, 62;г. Ганцевичи;Брестская обл.;Брестская обл.;225432;Ганцавіцкі;Ганцевичи
TN6E;Больница;Учреждение здравоохранения «Дрогичинская центральная районная больница»;Дрогичинская центральная районная больница;ул. 9 Мая, 40;г. Дрогичин;Брестская обл.;Брестская обл.;225612;Драгічынскі;Дрогичин
J54D;Больница;Антопольская городская больница;Антопольская городская больница;ул. Советская, 1б;г.п. Антополь;Брестская обл.;Брестская обл.;225850;Драгічынскі;Антополь
M367;Центр гигиены и эпидемиологии;Государственное учреждение «Дрогичинский районный центр гигиены и эпидемиологии»;Дрогичинский районный центр гигиены и эпидемиологии;ул. Чкалова, 6-2;г. Дрогичин;Брестская обл.;Брестская обл.;225612;Драгічынскі;Дрогичин
B045;Поликлиника;Поликлиника;Поликлиника;ул. Кирова, д 126;г. Жабинка;Брестская обл.;Брестская обл.;225101;Жабінкаўскі;Жабинка
1P97;Центр гигиены и эпидемиологии;Государственное учреждение «Жабинковский районный центр гигиены и эпидемиологии»;Жабинковский районный центр гигиены и эпидемиологии;ул. Центральная, 13 А-2;г. Жабинка;Брестская обл.;Брестская обл.;225101;Жабінкаўскі;Жабинка
ICAH;Центр гигиены и эпидемиологии;Государственное учреждение «Ивановский районный центр гигиены и эпидемиологии»;Ивановский районный центр гигиены и эпидемиологии;ул. К. Маркса, 94;г. Иваново;Брестская обл.;Брестская обл.;225792;Іванаўскі;Иваново
4JN8;Больница;Коссовская городская больница;Коссовская городская больница;ул. М. Горького, 5;г. Коссово;Брестская обл.;Брестская обл.;225262;Івацэвіцкі;Коссово
QA0R;Больница;Телеханская городская больница;Телеханская городская больница;ул. 1 Мая;г.п. Телеханы;Брестская обл.;Брестская обл.;225275;Івацэвіцкі;Телеханы
HTNS;Центр гигиены и эпидемиологии;Государственное учреждение «Ивацевичский районный центр гигиены и эпидемиологии»;Ивацевичский районный центр гигиены и эпидемиологии;ул. Толочко, 10;г. Ивацевичи;Брестская обл.;Брестская обл.;225295;Івацэвіцкі;Ивацевичи
DFPA;Больница;"Учреждение здравоохранения «Каменецкая центральная районная больница""";"Каменецкая центральная районная больница""";ул. Чкалова, 33;г. Каменец;Брестская обл.;Брестская обл.;225051;Камянецкі;Каменец
DIAF;Больница;Высоковская городская больница;Высоковская городская больница;ул. Советская, 80/1;г. Высокое;Брестская обл.;Брестская обл.;225080;Камянецкі;0
N31M;Больница;Дмитровичская больница сестринского ухода с амбулаторией врача общей практики;Дмитровичская больница сестринского ухода с амбулаторией врача общей практики;ул. Первомайская;д. Дмитровичи;Брестская обл.;Брестская обл.;225062;Камянецкі;Дмитровичи
PSOV;Больница;Пелищенская участковая больница с амбулаторией врача общей практики;Пелищенская участковая больница с амбулаторией врача общей практики;ул. Коммунистическая, 38;д. Пелище;Брестская обл.;Брестская обл.;225054;Камянецкі;Пелище
2K2F;Центр гигиены и эпидемиологии;Государственное учреждение «Каменецкий районный центр гигиены и эпидемиологии»;Каменецкий районный центр гигиены и эпидемиологии;ул. Пограничная, 2;г. Каменец;Брестская обл.;Брестская обл.;225051;Камянецкі;Каменец
TNC9;Стоматологическая Поликлиника;Филиал Стоматологическая поликлиника;Филиал Стоматологическая поликлиника;ул. Дзержинского, 78 а-1;г. Кобрин;Брестская обл.;Брестская обл.;225301;Кобрынскі;Кобрин
N5BO;Центр гигиены и эпидемиологии;Государственное учреждение «Кобринский зональный центр гигиены и эпидемиологии»;Кобринский зональный центр гигиены и эпидемиологии;пл. Свободы, 8;г. Кобрин;Брестская обл.;Брестская обл.;225306;Кобрынскі;Кобрин
L2PR;Больница;Кожан-Городокская участковая больница;Кожан-Городокская участковая больница;ул. П. Янкевича, 1д;д. Кожан-Городок;Брестская обл.;Брестская обл.;225660;Лунінецкі;Кожан-Городок
2N75;Больница;Красновольская участковая больница;Красновольская участковая больница;ул. Красная, 8а;д. Красная Воля;Брестская обл.;Брестская обл.;225665;Лунінецкі;Красная Воля
TVSJ;Больница;Синкевичская участковая больница;Синкевичская участковая больница;ул. Комсомольская, 92;д. Синкевичи;Брестская обл.;Брестская обл.;225686;Лунінецкі;Синкевичи
31Q3;Больница;Чучевичская участковая больница;Чучевичская участковая больница;ул. Ганцевичская, 23;д. Большие Чучевичи;Брестская обл.;Брестская обл.;225656;Лунінецкі;Большие Чучевичи
AS3U;Больница;Учреждение здравоохранения «Лунинецкая ЦРБ» Филиал № 1 «Микашевичская больница» УЗ «Лунинецкая ЦРБ»;Филиал № 1 «Микашевичская больница» Лунинецкая ЦРБ;ул. Первомайская, 18;г. Микашевичи;Брестская обл.;Брестская обл.;225687;Лунінецкі;Микашевичи
MP7C;Центр гигиены и эпидемиологии;Государственное учреждение «Лунинецкий районный центр гигиены и эпидемиологии»;Лунинецкий районный центр гигиены и эпидемиологии;ул. Красная, 162;г. Луненец;Брестская обл.;Брестская обл.;225644;Лунінецкі;Луненец
05H9;Больница;Учреждение здравоохранения «Брестская областная психиатрическая больница «Кривошин»;Брестская областная психиатрическая больница «Кривошин;ул. Советская, 43а;д. Кривошин;Брестская обл.;Брестская обл.;225388;Ляхавіцкі;Кривошин
L3F9;Центр гигиены и эпидемиологии;Государственное учреждение «Ляховичский районный центр гигиены и эпидемиологии»;Ляховичский районный центр гигиены и эпидемиологии;ул. Пушкина, 27;г. Ляховичи;Брестская обл.;Брестская обл.;225372;Ляхавіцкі;Ляховичи
HHP2;Больница;"Учреждение здравоохранения «Малоритская центральная районная больница""";"Малоритская центральная районная больница""";ул. Советская, 96;г. Малорита;Брестская обл.;Брестская обл.;224822;Маларыцкі;Малорита
LVBF;Больница;Великоритская больница сестринского ухода;Великоритская больница сестринского ухода;ул. Ленина, 2;д. Великорита;Брестская обл.;Брестская обл.;225912;Маларыцкі;Великорита
14A3;Центр гигиены и эпидемиологии;Государственное учреждение «Малоритский районный центр гигиены и эпидемиологии»;Малоритский районный центр гигиены и эпидемиологии;ул. Советская, 85/1;г. Малорита;Брестская обл.;Брестская обл.;225903;Маларыцкі;Малорита
PFFA;Больница;Учреждение здравоохранения «Пинская центральная больница»;Пинская центральная больница;ул. Первомайская, 191;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
F5FS;Диспансер;Филиал «Пинский межрайонный кожно-венерологический диспансер»;Филиал «Пинский межрайонный кожно-венерологический диспансер;ул. Завальная, 9;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
L9AU;Диспансер;Учреждение здравоохранения «Пинский диспансер спортивной медицины»;Пинский диспансер спортивной медицины;ул. Ленина, 45;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
0IAM;Диспансер;Филиал «Межрайонный онкологический диспансер»;Филиал «Межрайонный онкологический диспансер;ул. Советская, 42;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
4ASM;Диспансер;Филиал № 1 «Пинский межрайонный противотуберкулезный диспансер»;Филиал № 1 «Пинский межрайонный противотуберкулезный диспансер;ул. Шубитидзе, 9;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
FH05;Диспансер;"Филиал «Межрайонный психоневрологический диспансер""";"Филиал «Межрайонный психоневрологический диспансер""";ул. Рокоссовского, 8;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
PT6N;Стоматологическая Поликлиника;Учреждение здравоохранения «Пинская стоматологическая поликлиника»;Пинская стоматологическая поликлиника;ул. Революционная, 10;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
OPCR;Стоматологическая Поликлиника;Филиал «Детская стоматологическая поликлиника»;Филиал «Детская стоматологическая поликлиника;ул. Карасева, 3;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
EOS3;Поликлиника;Учреждение здравоохранения «Пинская центральная поликлиника» филиал «Станция переливания крови»;Пинская центральная поликлиника филиал «Станция переливания крови»;ул. М. Горького, 43;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
7BBJ;Поликлиника;Филиал «Станция скорой медицинской помощи» учреждения здравоохранения «Пинская центральная поликлиника»;Пинская центральная поликлиника филиал «Станция переливания крови»;ул. Сосновая, 5;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
661F;Дом ребенка;филиал «Специализированный дом ребенка»;филиал «Специализированный дом ребенка;ул. Ясная, 9;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
M3LA;Больница;Учреждение здравоохранения «Пинская детская больница»;Пинская детская больница;ул. Центральная, 11;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
FLH9;Родильный дом;Учреждение здравоохранения «Пинский межрайонный родильный дом»;Пинский межрайонный родильный дом;ул. Карасева, 1;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
UCK6;Больница;Филиал «Инфекционная больница «Молотковичи»;Филиал «Инфекционная больница «Молотковичи;ул. Морозова, 28;д. Молотковичи;Брестская обл.;Брестская обл.;225760;Пінскі;Молотковичи
A5SG;Больница;Учреждение здравоохранения «Брестская областная психиатрическая больница «Городище»;Брестская областная психиатрическая больница «Городище;ул. Леоненко, 1;п. Городище;Брестская обл.;Брестская обл.;225731;Пінскі;0
GLPF;Центр гигиены и эпидемиологии;Государственное учреждение «Пинский зональный центр гигиены и эпидемиологии»;Пинский зональный центр гигиены и эпидемиологии;ул. Гайдаенко, 5;г. Пинск;Брестская обл.;Брестская обл.;225710;Пінскі;Пинск
CF9O;Больница;Учреждение здравоохранения «Пружанская центральная районная больница»;Пружанская центральная районная больница;ул. Мицкевича, 27;г. Пружаны;Брестская обл.;Брестская обл.;225131;Пружанскі;Пружаны
JSEC;Больница;Ружанская городская больница;Ружанская городская больница;ул. Урбановича, 12;г.п. Ружаны;Брестская обл.;Брестская обл.;225154;Пружанскі;Ружаны
309S;Больница;Шерешевская городская больница;Шерешевская городская больница;ул. Октябрьская, 75;г.п. Шерешево;Брестская обл.;Брестская обл.;225175;Пружанскі;Шерешево
8N55;Больница;Учреждение здравоохранения «Брестская областная психиатрическая больница «Mогилевцы»;Брестская областная психиатрическая больница «Mогилевцы;ул. Прибольничная, 5;д. Могилевцы;Брестская обл.;Брестская обл.;225157;Пружанскі;Могилевцы
9LRP;Центр гигиены и эпидемиологии;Государственное учреждение «Пружанский районный центр гигиены и эпидемиологии»;Пружанский районный центр гигиены и эпидемиологии;ул. Строительная, 2;г. Пружаны;Брестская обл.;Брестская обл.;225133;Пружанскі;Пружаны
6I87;Больница;Филиал «Давид-Городокская больница»;Филиал «Давид-Городокская больница;ул. Советская, 40;г. Давид-Городок;Брестская обл.;Брестская обл.;225540;Столінскі;Давид-Городок
KVFG;Центр гигиены и эпидемиологии;Государственное учреждение «Столинский районный центр гигиены и эпидемиологии»;Столинский районный центр гигиены и эпидемиологии;ул. Гагарина, 5;г. Столин;Брестская обл.;Брестская обл.;225503;Столінскі;Столин
J303;Больница;Учреждение здравоохранения «Витебская областная клиническая больница»;Витебская областная клиническая больница;ул. Воинов-интернационалистов, 37;г. Витебск;г. Витебск;Витебская обл.;210037;Віцебскі;Витебск
LLO1;Больница;Областная детская клиническая больница Учреждение здравоохранения «Витебский областной детский клинический центр»;Областная детская клиническая больница Витебский областной детский клинический центр;ул. Шрадера, 7;г. Витебск;г. Витебск;Витебская обл.;210015;Віцебскі;Витебск
LUFP;Диспансер;Учреждение здравоохранения «Витебский областной клинический противотуберкулезный диспансер»;Витебский областной клинический противотуберкулезный диспансер;пр. Фрунзе, 75;г. Витебск;г. Витебск;Витебская обл.;210009;Віцебскі;Витебск
89TO;Больница;Учреждение здравоохранения «Богушевская областная туберкулезная больница»;Богушевская областная туберкулезная больница;ул. Колхозная, 52;г.п. Богушевск;Витебская обл.;Витебская обл.;211510;Сенненскі;Богушевск
KMM5;Больница;Учреждение здравоохранения «Лепельская областная психиатрическая больница»;Лепельская областная психиатрическая больница;ул. К.Маркса, 24;г. Лепель;Витебская обл.;Витебская обл.;211174;Лепельскі;Лепель
N46C;Больница;Учреждение здравоохранения «Полоцкая областная психиатрическая больница»;Полоцкая областная психиатрическая больница;ул. 23 Гвардейцев, 4а;г. Полоцк;Витебская обл.;Витебская обл.;211402;Полацкі;Полоцк
NBS9;Больница;Учреждение здравоохранения «Браславская областная психиатрическая больница „Слободка“»;Браславская областная психиатрическая больница „Слободка“;0;д. Слободка;Витебская обл.;Витебская обл.;211977;Браслаўскі;Слободка
MNP3;Диспансер;Учреждение здравоохранения «Витебский областной диспансер спортивной медицины»;Витебский областной диспансер спортивной медицины;ул. 1-ая Доватора, 3а;г. Витебск;г. Витебск;Витебская обл.;210023;Віцебскі;Витебск
CKAT;Диспансер;Учреждение здравоохранения «Витебский областной клинический онкологический диспансер»;Витебский областной клинический онкологический диспансер;ул. П. Бровки, 33;г. Витебск;г. Витебск;Витебская обл.;210603;Віцебскі;Витебск
6SOF;Диспансер;Учреждение здравоохранения «Витебский областной эндокринологический диспансер»;Витебский областной эндокринологический диспансер;пр. Фрунзе, 71В;г. Витебск;г. Витебск;Витебская обл.;210009;Віцебскі;Витебск
FTHK;Госпиталь;Учреждение здравоохранения «Витебский областной госпиталь инвалидов Великой Отечественной войны „Юрцево“»;Витебский областной госпиталь инвалидов Великой Отечественной войны „Юрцево“;0;д. Юрцево;Витебская обл.;Витебская обл.;211018;Аршанскі;Юрцево
U0IH;Больница;Учреждение здравоохранения «Витебская городская клиническая больница скорой и медицинской помощи»;Витебская городская клиническая больница скорой и медицинской помощи;ул. Фрунзе, 71;г. Витебск;г. Витебск;Витебская обл.;210009;Віцебскі;Витебск
TEVL;Больница;Учреждение здравоохранения «Витебская областная клиническая инфекционная больница»;Витебская областная клиническая инфекционная больница;пр. Фрунзе, 73;г. Витебск;г. Витебск;Витебская обл.;210009;Віцебскі;Витебск
FUPE;Поликлиника;Учреждение здравоохранения «Витебская городская клиническая поликлиника № 3»;Витебская городская клиническая поликлиника № 3;пр. Московский, 43а;г. Витебск;г. Витебск;Витебская обл.;210038;Віцебскі;Витебск
CU5Q;Стоматологическая Поликлиника;Филиал №2 Стоматологическая поликлиника Учреждения здравоохранения «Витебский областной клинический стоматологический центр»;Филиал №2 Стоматологическая поликлиника Учреждения здравоохранения «Витебский областной клинический стоматологический центр;ул. М. Горького, 34;г. Витебск;г. Витебск;Витебская обл.;210004;Віцебскі;Витебск
3KDP;Стоматологическая Поликлиника;Филиал № 1 Детская стоматологическая поликлиника Учреждения здравоохранения «Витебский областной клинический стоматологический центр»;Филиал № 1 Детская стоматологическая поликлиника Учреждения здравоохранения «Витебский областной клинический стоматологический центр;ул. Смоленская, 8, корп. 1-81;г. Витебск;г. Витебск;Витебская обл.;210029;Віцебскі;Витебск
B18D;Дом ребенка;Учреждение здравоохранения «Витебский областной специализированный дом ребенка»;Витебский областной специализированный дом ребенка;пр. Победы, 32;г. Витебск;г. Витебск;Витебская обл.;210041;Віцебскі;Витебск
T6PP;Родильный дом;Учреждение здравоохранения «Витебский областной клинический родильный дом»;Витебский областной клинический родильный дом;пр. Черняховского, 21;г. Витебск;г. Витебск;Витебская обл.;210015;Віцебскі;Витебск
7S4J;Поликлиника;Филиал № 4 детская поликлиника № 4 Учреждение здравоохранения «Витебский областной детский клинический центр»;Филиал № 4 детская поликлиника № 4 Витебский областной детский клинический центр;ул. Космонавтов, 5;г. Витебск;г. Витебск;Витебская обл.;210022;Віцебскі;Витебск
M3IO;Поликлиника;УЗ «Витебская городская поликлиника № 6» Филиал № 1 Городская больница № 3;Витебская городская поликлиника № 6 Филиал № 1 Городская больница № 3;пер. Центральный, 8;г.п. Руба;Витебская обл.;Витебская обл.;211321;Віцебскі;Руба
3UU2;Поликлиника;Учреждение здравоохранения «Витебская городская акушерско-гинекологическая поликлиника»;Витебская городская акушерско-гинекологическая поликлиника;ул. Краснофлотская, 2;г. Витебск;г. Витебск;Витебская обл.;210009;Віцебскі;Витебск
2IVA;Поликлиника;Филиал № 1 детская поликлиника № 1 Учреждение здравоохранения «Витебский областной детский клинический центр»;Филиал № 1 детская поликлиника № 1 Витебский областной детский клинический центр;ул. Шрадера, 7;г. Витебск;г. Витебск;Витебская обл.;210015;Віцебскі;Витебск
JTLR;Поликлиника;Филиал № 3 детская поликлиника № 3 Учреждение здравоохранения «Витебский областной детский клинический центр»;Филиал № 3 детская поликлиника № 3 Витебский областной детский клинический центр;ул. Фрунзе, 32;г. Витебск;г. Витебск;Витебская обл.;210000;Віцебскі;Витебск
8N7T;Больница;Государственное учреждение здравоохранения «Витебская городская центральная клиническая больница»;Витебская городская центральная клиническая больница;ул. М. Горького, 90а;г. Витебск;г. Витебск;Витебская обл.;210002;Віцебскі;Витебск
3290;Поликлиника;Филиал № 5 детская поликлиника № 5 Учреждение здравоохранения «Витебский областной детский клинический центр»;Филиал № 5 детская поликлиника № 5 Витебский областной детский клинический центр;ул. М. Горького, 90а;г. Витебск;г. Витебск;Витебская обл.;210002;Віцебскі;Витебск
BN09;Больница;Учреждение здравоохранения «Витебская городская клиническая больница № 1»;Витебская городская клиническая больница № 1;ул. Коммунистическая, 5;г. Витебск;г. Витебск;Витебская обл.;210026;Віцебскі;Витебск
E8IM;Поликлиника;Филиал №3 Государственное учреждение здравоохранения «Витебская городская центральная поликлиника» «Городская поликлиника №4 им. В.И. Ленина»;Филиал №3 Витебская городская центральная поликлиника «Городская поликлиника №4 им. В.И. Ленина»;ул. Б. Хмельницкого, 24;г. Витебск;г. Витебск;Витебская обл.;210015;Віцебскі;Витебск
F1UJ;Поликлиника;Филиал № 5 ГУЗ «ВГЦП» городская поликлиника № 5;Филиал № 5 ГВГЦП городская поликлиника № 5;ул. Гагарина, 106;г. Витебск;г. Витебск;Витебская обл.;210017;Віцебскі;Витебск
Q7N7;Больница;Учреждение здравоохранения «Бешенковичская центральная районная больница»;Бешенковичская центральная районная больница;Витебское шоссе, 36;г.п. Бешенковичи;Витебская обл.;Витебская обл.;211361;Бешанковіцкі;Бешенковичи
KRAH;Центр гигиены и эпидемиологии;Государственное учреждение «Бешенковичский районный центр гигиены и эпидемиологии»;Бешенковичский районный центр гигиены и эпидемиологии;Витебское шоссе, 38;г.п. Бешенковичи;Витебская обл.;Витебская обл.;211361;Бешанковіцкі;Бешенковичи
